continent;country;region;city;lat;lon;wmo
Asia;Armenia;;AMASIA;40.78;43.83;376820
Asia;Armenia;;SEVAN;40.55;44.93;377090
Asia;Armenia;;YEREVAN/YEREVAN-ARA;40.13;44.47;377890
Asia;Azerbaijan;;LANKARAN;38.73;48.83;379850
Asia;Azerbaijan;;ZAKATALA;41.67;46.65;375750
Asia;Bahrain;;BAHRAIN (INT. AIRPORT);26.27;50.65;411500
Asia;British Indian Ocean Territory;;DIEGO GARCIA NAF;-7.30;72.40;619670
Asia;Brunei Darussalam;;BRUNEI AIRPORT;4.93;114.93;963150
Asia;China;;ABAG QI;44.02;114.95;531920
Asia;China;;AIHUI;50.25;127.45;504680
Asia;China;;AKQI;40.93;78.45;517110
Asia;China;;ALAR;40.50;81.05;517300
Asia;China;;ALTAY;47.73;88.08;510760
Asia;China;;ANDA;46.38;125.32;508540
Asia;China;;ANDIR;37.93;83.65;518480
Asia;China;;ANKANG;32.72;109.03;572450
Asia;China;;ANQING;30.53;117.05;584240
Asia;China;;ANYANG;36.05;114.40;538980
Asia;China;;ARXAN;47.17;119.93;507270
Asia;China;;BACHU;39.80;78.57;517160
Asia;China;;BAILING-MIAO;41.70;110.43;533520
Asia;China;;BAINGOIN;31.37;90.02;552790
Asia;China;;BAISE;23.90;106.60;592110
Asia;China;;BALGUNTAY;42.67;86.33;514670
Asia;China;;BAODING;38.85;115.57;546020
Asia;China;;BAOJI;34.35;107.13;570160
Asia;China;;BAOQING;46.32;132.18;508880
Asia;China;;BAOSHAN;25.12;99.18;567480
Asia;China;;BARKAM;31.90;102.23;561720
Asia;China;;BATANG;30.00;99.10;562470
Asia;China;;BAYAN MOD;40.75;104.50;524950
Asia;China;;BAYANBULAK;43.03;84.15;515420
Asia;China;;BAYTIK SHAN;45.37;90.53;512880
Asia;China;;BEIHAI;21.48;109.10;596440
Asia;China;;BEIJING;39.93;116.28;545110
Asia;China;;BENGBU;32.95;117.37;582210
Asia;China;;BENXI;41.32;123.78;543460
Asia;China;;BIJIE;27.30;105.23;577070
Asia;China;;BINHAI;39.12;117.33;545273
Asia;China;;BOXIAN;33.88;115.77;581020
Asia;China;;BUGT;48.77;121.92;506320
Asia;China;;BUGT;42.33;120.70;542260
Asia;China;;CANGZHOU;38.33;116.83;546160
Asia;China;;CHANG DAO;37.93;120.72;547510
Asia;China;;CHANGBAI;41.35;128.17;543860
Asia;China;;CHANGCHUN;43.90;125.22;541610
Asia;China;;CHANGDE;29.05;111.68;576620
Asia;China;;CHANGLING;44.25;123.97;540490
Asia;China;;CHANGSHA;28.23;112.87;576870
Asia;China;;CHANGTING;25.85;116.37;589110
Asia;China;;CHAOYANG;41.55;120.45;543240
Asia;China;;CHENGDE;40.98;117.95;544230
Asia;China;;CHENGDU;30.67;104.02;562940
Asia;China;;CHENGSHANTOU;37.40;122.68;547760
Asia;China;;CHENZHOU;25.80;113.03;579720
Asia;China;;CHIFENG;42.27;118.97;542180
Asia;China;;CHONGQING;29.58;106.47;575160
Asia;China;;CHUXIONG;25.02;101.52;567680
Asia;China;;DA XIAN;31.20;107.50;573280
Asia;China;;DA-QAIDAM;37.85;95.37;527130
Asia;China;;DACHEN DAO;28.45;121.88;586660
Asia;China;;DALI;25.70;100.18;567510
Asia;China;;DALIAN;38.90;121.63;546620
Asia;China;;DANDONG;40.05;124.33;544970
Asia;China;;DANXIAN;19.52;109.58;598450
Asia;China;;DAOCHENG;29.05;100.30;563570
Asia;China;;DARLAG;33.75;99.65;560460
Asia;China;;DATONG;40.10;113.33;534870
Asia;China;;DAWU;30.98;101.12;561670
Asia;China;;DEGE;31.80;98.57;561440
Asia;China;;DELINGHA;37.37;97.37;527370
Asia;China;;DENGQEN;31.42;95.60;561160
Asia;China;;DEQEN;28.45;98.88;564440
Asia;China;;DEZHOU;37.43;116.32;547140
Asia;China;;DINGHAI;30.03;122.12;584770
Asia;China;;DINGTAO;35.07;115.57;549090
Asia;China;;DIWOPU;43.90;87.47;514635
Asia;China;;DONGFANG;19.10;108.62;598380
Asia;China;;DONGSHENG;39.83;109.98;535430
Asia;China;;DONGTAI;32.85;120.28;582510
Asia;China;;DULAN;36.30;98.10;528360
Asia;China;;DUNHUA;43.37;128.20;541860
Asia;China;;DUNHUANG;40.15;94.68;524180
Asia;China;;DUOLUN;42.18;116.47;542080
Asia;China;;DUSHAN;25.83;107.55;579220
Asia;China;;EJIN QI;41.95;101.07;522670
Asia;China;;EMEI SHAN;29.52;103.33;563850
Asia;China;;ENSHI;30.28;109.47;574470
Asia;China;;ERENHOT;43.65;112.00;530680
Asia;China;;FANGXIAN;32.03;110.77;572590
Asia;China;;FENGJIE;31.02;109.53;573480
Asia;China;;FENGNING;41.22;116.63;543080
Asia;China;;FEZXZAN;35.25;117.95;549290
Asia;China;;FOGANG;23.87;113.53;590870
Asia;China;;FUDING;27.33;120.20;587540
Asia;China;;FUJIN;47.23;131.98;507880
Asia;China;;FUYANG;32.87;115.73;582030
Asia;China;;FUYUN;46.98;89.52;510870
Asia;China;;FUZHOU;26.08;119.28;588470
Asia;China;;GANGCA;37.33;100.13;527540
Asia;China;;GANYU;34.83;119.13;580400
Asia;China;;GANZHOU;25.87;115.00;579930
Asia;China;;GAOYAO;23.05;112.47;592780
Asia;China;;GARZE;31.62;100.00;561460
Asia;China;;GENGMA;23.55;99.40;569460
Asia;China;;GOLMUD;36.42;94.90;528180
Asia;China;;GUAIZIHU;41.37;102.37;523780
Asia;China;;GUANGCHANG;26.85;116.33;588130
Asia;China;;GUANGHUA;32.38;111.67;572650
Asia;China;;GUANGNAN;24.07;105.07;590070
Asia;China;;GUANGZHOU;23.17;113.33;592870
Asia;China;;GUILIN;25.33;110.30;579570
Asia;China;;GUIPING;23.40;110.08;592540
Asia;China;;GUIYANG;26.58;106.73;578160
Asia;China;;GUSHI;32.17;115.67;582080
Asia;China;;HAIKOU;20.03;110.35;597580
Asia;China;;HAILAR;49.22;119.75;505270
Asia;China;;HAILS;41.45;106.38;532310
Asia;China;;HAILUN;47.43;126.97;507560
Asia;China;;HAIYANG;36.77;121.17;548630
Asia;China;;HAIYANG DAO;39.05;123.22;545870
Asia;China;;HALIUT;41.57;108.52;533360
Asia;China;;HAMI;42.82;93.52;522030
Asia;China;;HANGZHOU;30.23;120.17;584570
Asia;China;;HANZHONG;33.07;107.03;571270
Asia;China;;HARBIN;45.75;126.77;509530
Asia;China;;HECHI;24.70;108.05;590230
Asia;China;;HEFEI;31.87;117.23;583210
Asia;China;;HENAN;34.73;101.60;560650
Asia;China;;HEQU;39.38;111.15;535640
Asia;China;;HEYUAN;23.80;114.73;592930
Asia;China;;HEZE/CAOZHOU;35.25;115.43;549060
Asia;China;;HEZUO;35.00;102.90;560800
Asia;China;;HOBOKSAR;46.78;85.72;511560
Asia;China;;HOHHOT;40.82;111.68;534630
Asia;China;;HONG KONG INTERNATI;22.32;113.92;450070
Asia;China;;HONG KONG OBSERVATO;22.30;114.17;450050
Asia;China;;HOTAN;37.13;79.93;518280
Asia;China;;HUA SHAN;34.48;110.08;570460
Asia;China;;HUADE;41.90;114.00;533910
Asia;China;;HUADIAN;42.98;126.75;542730
Asia;China;;HUAILAI;40.40;115.50;544050
Asia;China;;HUAJIALING;35.38;105.00;529960
Asia;China;;HUANG SHAN;30.13;118.15;584370
Asia;China;;HUILI;26.65;102.25;566710
Asia;China;;HUIMIN;37.50;117.53;547250
Asia;China;;HUIZE;26.42;103.28;566840
Asia;China;;HULIN;45.77;132.97;509830
Asia;China;;HUMA;51.72;126.65;503530
Asia;China;;HUOSHAN;31.40;116.33;583140
Asia;China;;JARTAI;39.78;105.75;535020
Asia;China;;JARUD QI;44.57;120.90;540260
Asia;China;;JIAN;41.10;126.15;543770
Asia;China;;JIAN;27.12;114.97;577990
Asia;China;;JIANGCHENG;22.62;101.82;569770
Asia;China;;JIANGLING;30.33;112.18;574760
Asia;China;;JIEXIU;37.03;111.92;538630
Asia;China;;JINAN;36.60;117.05;548230
Asia;China;;JINGDEZHEN;29.30;117.20;585270
Asia;China;;JINGHE;44.62;82.90;513340
Asia;China;;JINGHONG;22.00;100.78;569590
Asia;China;;JINING;41.03;113.07;534800
Asia;China;;JINZHOU;41.13;121.12;543370
Asia;China;;JIULONG;29.00;101.50;564620
Asia;China;;JIUQUAN;39.77;98.48;525330
Asia;China;;JIUXIAN SHAN;25.72;118.10;589310
Asia;China;;JIXI;45.28;130.95;509780
Asia;China;;JURH;42.40;112.90;532760
Asia;China;;KABA HE;48.05;86.35;510530
Asia;China;;KANGDING;30.05;101.97;563740
Asia;China;;KARAMAY;45.60;84.85;512430
Asia;China;;KASHI;39.47;75.98;517090
Asia;China;;KESHAN;48.05;125.88;506580
Asia;China;;KORLA;41.75;86.13;516560
Asia;China;;KUANDIAN;40.72;124.78;544930
Asia;China;;KUNMING;25.02;102.68;567780
Asia;China;;KUOCANG SHAN;28.82;120.92;586530
Asia;China;;KUQA;41.72;82.95;516440
Asia;China;;LANCANG;22.57;99.93;569540
Asia;China;;LANGZHONG;31.58;105.97;573060
Asia;China;;LANZHOU;36.05;103.88;528890
Asia;China;;LENGHU;38.83;93.38;526020
Asia;China;;LETING;39.43;118.90;545390
Asia;China;;LHASA;29.67;91.13;555910
Asia;China;;LHUNZE;28.42;92.47;556960
Asia;China;;LIAN XIAN;24.78;112.38;590720
Asia;China;;LIANGPING;30.68;107.80;574260
Asia;China;;LIANPING;24.37;114.48;590960
Asia;China;;LIJING;26.83;100.47;566510
Asia;China;;LINCANG;23.95;100.22;569510
Asia;China;;LINDONG;43.98;119.40;540270
Asia;China;;LINGLING;26.23;111.62;578660
Asia;China;;LINGXIAN;37.33;116.57;547150
Asia;China;;LINHAI;28.85;121.13;586600
Asia;China;;LINHE;40.77;107.40;535130
Asia;China;;LINJIANG;41.72;126.92;543740
Asia;China;;LINXI;43.60;118.07;541150
Asia;China;;LINYI;35.05;118.35;549380
Asia;China;;LISHI;37.50;111.10;537640
Asia;China;;LISHUI;28.45;119.92;586460
Asia;China;;LITANG;30.00;100.27;562570
Asia;China;;LIUZHOU;24.35;109.40;590460
Asia;China;;LIYANG;31.43;119.48;583450
Asia;China;;LONGKOU;37.62;120.32;547530
Asia;China;;LONGYAN;25.10;117.02;589270
Asia;China;;LONGZHOU;22.37;106.75;594170
Asia;China;;LU SHAN;29.58;115.98;585060
Asia;China;;LUODIAN;25.43;106.77;579160
Asia;China;;LUSHI;34.05;111.03;570670
Asia;China;;LUSI;32.07;121.60;582650
Asia;China;;LUXI;24.53;103.77;568860
Asia;China;;LUZHOU;28.88;105.43;576020
Asia;China;;MACHENG;31.18;114.97;573990
Asia;China;;MADOI;34.92;98.22;560330
Asia;China;;MANDAL;42.53;110.13;531490
Asia;China;;MANGNAI;38.25;90.85;518860
Asia;China;;MAZONG SHAN;41.80;97.03;523230
Asia;China;;MEI XIAN;24.30;116.12;591170
Asia;China;;MENGDING;23.57;99.08;569450
Asia;China;;MENGJIN;34.82;112.43;570710
Asia;China;;MENGLA;21.50;101.58;569690
Asia;China;;MENGSHAN;24.20;110.52;590580
Asia;China;;MENGZI;23.38;103.38;569850
Asia;China;;MIANYANG;31.45;104.73;561960
Asia;China;;MINFENG;37.07;82.72;518390
Asia;China;;MINQIN;38.63;103.08;526810
Asia;China;;MOHE;52.13;122.52;501360
Asia;China;;MUDANJIANG;44.57;129.60;540940
Asia;China;;NAGQU;31.48;92.07;552990
Asia;China;;NANCHANG;28.60;115.92;586060
Asia;China;;NANCHENG;27.58;116.65;587150
Asia;China;;NANCHONG;30.80;106.08;574110
Asia;China;;NANJING;32.00;118.80;582380
Asia;China;;NANNING;22.82;108.35;594310
Asia;China;;NANPING;26.63;118.00;588340
Asia;China;;NANYANG;33.03;112.58;571780
Asia;China;;NANYUE;27.30;112.70;577760
Asia;China;;NAPO;23.30;105.95;592090
Asia;China;;NARAN BULAG;44.62;114.15;530830
Asia;China;;NEIJIANG;29.58;105.05;575040
Asia;China;;NENJIANG;49.17;125.23;505570
Asia;China;;NYINGCHI;29.57;94.47;563120
Asia;China;;OTOG QI;39.10;107.98;535290
